id,followers,name,popularity,CLASSES,lof_results
7frYUe4C7A42uZqCzD34Y4,53636.0,Sultaan,53,50_60_class,1
6acbdy69rtlv8m9EW31MYl,72684.0,Phyno,51,50_60_class,1
72578usTM6Cj5qWsi471Nc,248568.0,Raghu Dixit,52,50_60_class,1
4rK6HLvoZhLFUTcUhG9WfC,5644.0,Deacon,52,50_60_class,1
6iv4lysB1yHXoZJ2gfqTdh,786.0,Shashwat Singh,56,50_60_class,1
7b6Ui7JVaBDEfZB9k6nHL0,701766.0,The Local Train,57,50_60_class,1
5wJ1H6ud777odtZl5gG507,211174.0,Vishal Mishra,66,60_70_class,1
4qYpTEJThZ8FC8KzyFrSWW,24992.0,Boj,51,50_60_class,1
1AavJbrmyu2LqJRUmR05RY,3410.0,Ocean Sounds Collection,59,50_60_class,1
7rVV9d6vc4FLT752uRuk71,14660.0,Arivu,63,60_70_class,1
0n4a5imdLBN24fIrBWoqrv,328492.0,Because,59,50_60_class,1
4gdMJYnopf2nEUcanAwstx,103905.0,Anuv Jain,58,50_60_class,1
3r0NbTTxtCBUyxcIR4prXr,66016.0,Jr Crown,59,50_60_class,1
25A5LqeSK0yH4ks5fGxbI2,426.0,Sava,63,60_70_class,1
6xNUn9epduXbZmCgsxutSx,1720.0,BM X MINI,63,60_70_class,1
2KewEocognk3bL1lQZe45G,10609.0,C2d,58,50_60_class,1
5FWTu1MZdB5fjKif2rZldJ,117070.0,Easy Star All-Stars,52,50_60_class,1
6Hs8U0JO2nacXFG4kp15Co,191599.0,Chico Trujillo,55,50_60_class,1
06s35sbFfZJUEwFjAaZfiW,76227.0,Cookin Soul,58,50_60_class,1
7e3BSeFzlCGyAdbsUbgUaD,272543.0,Damián Córdoba,56,50_60_class,1
0bYQe0JDIjxkSHQoXlfngl,193728.0,Acru,59,50_60_class,1
3XBw8ImFEo86mEB2dYh0vS,46708.0,Zoe Gotusso,55,50_60_class,1
6kPvFQoD8mzPv5IkOV8PUi,1529.0,DJ Roma Oficial,60,50_60_class,1
5CA5IqbsFr4hpNLdjgO0BU,42659.0,DJ Tao,59,50_60_class,1
7dlkBH23ERFXxuNoMHq94Y,188452.0,Q' Lokura,65,60_70_class,1
5AmJYBIvICxss43P05MkU8,111419.0,La Ross Maria,60,50_60_class,1
0cmBbO2sr4w0rRGt3rKvs6,113616.0,Mad Caddies,51,50_60_class,1
05lGoXu9JR7S0vzqUhVCsQ,4588.0,David Nathan,60,50_60_class,1
6zn86iqNCkQZqsBvEv6oBO,11063.0,Ritter Rost,53,50_60_class,1
7If8DXZN7mlGdQkLE2FaMo,298886.0,The Gaslight Anthem,58,50_60_class,1
05ndiewdJogtosuRWN8iwF,43766.0,Adaro,54,50_60_class,1
04M031J6AL6BMAl8mRYxHy,9625.0,Jeaw,51,50_60_class,1
185m2EJWTIm36MdqguiU8T,8881.0,Freischwimmer,53,50_60_class,1
0cuXND9aMsZhko0y3w8uxw,18540.0,Vincent Lee,52,50_60_class,1
5yNlFmp5vESd61p6Ob3Qzo,18551.0,Lary,54,50_60_class,1
1udPbK2uKdBxyEfBpTl1mm,89.0,Die Flohtöne,51,50_60_class,1
5hNRMsMMDlMIvEwu4UvjQO,74884.0,Sinan-G,58,50_60_class,1
1HORQCHE3Q4m0tAKiRsIAB,101451.0,Antilopen Gang,54,50_60_class,1
3TqfPVt0HX8GCzNOOjDcum,164163.0,Sun Diego,53,50_60_class,1
3ovjYwwSGHLzEkRswfpxmb,222208.0,Die Lochis,51,50_60_class,1
2b6Cbp1cgD0hwisrGbKsZJ,944.0,Freedo,57,50_60_class,1
4sOLJi96MhdlMv5Iz9YZT9,36740.0,Sean Koch,52,50_60_class,1
3JE0uoggWwwYG6rSSJk0HN,102338.0,FIL BO RIVA,56,50_60_class,1
2OUL2T3SNcApUdrOOXjY9g,684.0,Florian Lamp,54,50_60_class,1
3ygqQTBSK8J8EcverijxFD,13126.0,Sabine Städing,55,50_60_class,1
2IP71LH7CbwddhsEXBI0fy,22328.0,1991,53,50_60_class,1
5PQVAGtwANqHreEKQJthOU,59392.0,negatiiv OG,60,50_60_class,1
1ZHJdXXtKnmUh2qRN4LmbS,235506.0,Ben Zucker,59,50_60_class,1
74pYbw2hCJjXyYitTfyT9F,13829.0,NARU,52,50_60_class,1
0nSloWzkGWXwj1v8nOI0Ma,45192.0,Teesy,51,50_60_class,1
74yjU6gHx05PeHAokao6DS,15457.0,NUGAT,53,50_60_class,1
2IjiuEObrCKyZvSb8xLxG9,109668.0,filous,62,60_70_class,1
0n1kV1G3NQrfuLGJosIGxb,46185.0,Longus Mongus,66,60_70_class,1
41LLNWUptvfbQ9Q7oCefmg,423673.0,Genetikk,64,60_70_class,1
0lFLP59V4TY3XgnrkFIwxK,293146.0,Katja Krasavice,64,60_70_class,1
0a7ReNgiORz9sEajzbbmqw,7354.0,Spirit,54,50_60_class,1
4R0FKprdEeUIbzAwhrYTv2,146741.0,Elias,60,50_60_class,1
4A7HeXSd4HtQuf6IR5XZ1b,411347.0,Fero47,60,50_60_class,1
6wlk4iqaEgEvADMVG6QMd8,52756.0,James Gillespie,54,50_60_class,1
5cL7VO0XEyVE16PDCrkZ5V,1020.0,Rain Sounds Nature Collection,54,50_60_class,1
6awzBEyEEwWHOjLox1DkLr,173900.0,Girl Talk,54,50_60_class,1
0tTLmQvo0tn8vYlpJpA2no,68006.0,Thirsty Merc,53,50_60_class,1
6CsleyOZtyt16saX8WhzDx,181202.0,Brother Ali,53,50_60_class,1
3mZqziCJj4pq3P2VBpmK6p,221516.0,Friendly Fires,51,50_60_class,1
500YRyClzP6Z7HtWd1BIje,42423.0,Northeast Party House,52,50_60_class,1
7tje8UB3cuR1ZfeJx2U38T,71625.0,Logan Mize,60,50_60_class,1
1ououJVWgWsHWMYDLvT7sH,114763.0,Ball Park Music,56,50_60_class,1
3N9qpKjXarCt5AIZRCeqr8,95989.0,Seth Sentry,51,50_60_class,1
0E3lRHTut04XpirvWC45bn,23698.0,Ryan McCartan,59,50_60_class,1
1yYOdNoOE03lCh6qo472CK,3749.0,Tui T. Sutherland,53,50_60_class,1
7bgWYLE4XMlxWcenBQfvf2,246.0,Shannon McManus,52,50_60_class,1
30BDCIM0IdglDaLzvCYd0N,110779.0,In Hearts Wake,51,50_60_class,1
6UBMFaCTZnL1Hr1nTOEblM,40549.0,Gordi,52,50_60_class,1
2NqgE99Ll5vOTvmbN7O2R6,224743.0,Boy & Bear,60,50_60_class,1
1ZcnsSFqWusWlRK01vKE6b,59414.0,Montaigne,56,50_60_class,1
07Q9n9pbwR6jQ8xH4SA46b,95042.0,Justice Crew,51,50_60_class,1
3K40SMapVhc8PxyYFofHff,92064.0,Corbin,60,50_60_class,1
1SFz3S9eSUTc49ysstadiO,75205.0,Boo Seeka,52,50_60_class,1
0NhKCHTPG7Sz62S3zxV1Cf,10618.0,Ecca Vandal,53,50_60_class,1
3Qs1EAnyqWLaNqk0wHS63M,4463.0,Rain Sound Studio,58,50_60_class,1
4QkSD9TRUnMtI8Fq1jXJJe,230244.0,Snail Mail,55,50_60_class,1
49r28kFLIBUEgxnjLUvUwA,1721.0,Michel LeBond,51,50_60_class,1
3vvY6bfFNRymVmylw2vfGy,50.0,Akvavit,57,50_60_class,1
3WPHQWwZQNf7VcbeQFhaXF,725.0,Neon Eyes,58,50_60_class,1
5u0dE6Vw509dFP0YK5y8lc,1497.0,Epic Soundscapes,59,50_60_class,1
6kqOxJqJ4r4cIlbYR4GbP4,2268.0,"oh, the joy.",62,60_70_class,1
35YkpX0zYwHG8vOIhObvxP,2639827.0,Mano Walter,65,60_70_class,1
5I2d294l90n7EMWVNUZczE,55343.0,Lange Frans,57,50_60_class,1
4oVERQ0AxzzQ4zip1nMKlt,77565.0,Gringe,52,50_60_class,1
74ycentHh1YZrW5x4PLnox,30266.0,Wolfpack,55,50_60_class,1
3HL2hJ9MmM9eazDokIndkr,231795.0,SBMG,58,50_60_class,1
5JcSyYpBdqCmjJyVlKh7Yg,35969.0,Rebelion,53,50_60_class,1
758yIKdhJhWL6oTuTSFVV6,34645.0,Dirk Maassen,60,50_60_class,1
2Muef9e20frSc14ocV9TQU,37180.0,Pierrii,56,50_60_class,1
0dSh0CIa0HPd9kJmJSmGQo,59620.0,ISHA,52,50_60_class,1
1LsW7KoHTgRLcZ7Jwt79MR,62531.0,Bart Peeters,52,50_60_class,1
0OQMxt6l70FM2YlLwYDiEn,82437.0,Swing,53,50_60_class,1
5hEZc6Innys0o99gLeha3K,15785.0,Klaus Veen,59,50_60_class,1
1CwqAnNZyIYqC7SWpTUpwk,2454.0,Armen Paul,51,50_60_class,1
5Ld19xtpAR80G2boTcHaVx,103533.0,Harrison Storm,60,50_60_class,1
1QfEfvB62EEl4upf2ANKkR,97780.0,Pip Millett,58,50_60_class,1
2HXioEvQuzCcNmRsImBTET,38834.0,7 Jaws,53,50_60_class,1
60gg31QLbNuGwl12YPBAUK,13156.0,Jordymone9,51,50_60_class,1
3kJ7YsRgaO8ggKD1lw4C2T,2471.0,Dylan Playfair,62,60_70_class,1
2hwy5DELim1AxB1sHPqn4y,7390.0,Gotts Street Park,53,50_60_class,1
